background_id,event_date,end_date,org_id,title,description,governing_authority,india_relations,date_precision,source_id,source_excerpt,show_label,label_position
background_1949_rana,1949-04-22,1951-11-16,political_background,拉纳政府／特里布文国王,拉纳统治末期与1951年政权更替,莫汉·谢尔等拉纳首相掌握政府实权，特里布文为国王；1951年德里协议后形成王室、大会党与拉纳派联合内阁。,尼泊尔流亡政治力量以印度为重要活动地；大会党、国王与拉纳当权者的谈判形成“德里协议”。,mixed,WTY-P27;WTY-P28,尼共筹建者1949年在印度加尔各答集会，主张推翻拉纳独裁政权。1951年国王联合大会党迫使莫汉·谢尔辞职，拉纳家族长期统治终结。,yes,middle right
background_1951_congress,1951-11-16,1955-03-13,political_background,大会党首次执政／王权收权,拉纳统治终结后的议会力量与王权消长,马·普·柯伊拉腊任首相，大会党首次执政；其内阁垮台后，特里布文国王一度直接掌权并先后任命政府。,政权安排以“德里协议”为起点；大会党和尼共的重要活动仍与印度境内的流亡网络密切相连。,mixed,WTY-P27;WTY-P29,1951年11月16日马·普·柯伊拉腊任首相，大会党首次执政；随后大会党分裂，国王乘机把政权掌握在自己手里。,yes,middle right
background_1955_mahendra,1955-03-14,1959-05-27,political_background,马亨德拉国王／国王任命政府,从国王任命内阁走向1959年议会选举,马亨德拉继位，先后起用坦卡·普拉萨德·阿查里亚等人组阁；政党能否参政和何时选举仍由国王主导。,书中本段没有逐届说明对印政策；1950年尼印条约及对印度的经济依赖构成长期关系背景。,mixed,WTY-P29;WTY-P65-P72,1955年特里布文病逝后马亨德拉继位。新国王只答应制定新宪法并举行全民选举，王室继续控制政治进程。,yes,middle right
background_1959_bp,1959-05-27,1960-12-15,political_background,大会党政府／比·普·柯伊拉腊首相,短暂的民选议会政府,大会党赢得1959年选举，比·普·柯伊拉腊任首相；马亨德拉仍为国王。,政府处在1950年尼印条约和长期经济依赖框架下；书中当前段落未另列这一届政府的具体对印政策。,mixed,WTY-P29;WTY-P65-P72,1959年实行议会选举并成立大会党政府；1960年马亨德拉国王解散议会，终止这一民选政府。,yes,middle right
background_1960_mahendra,1960-12-15,1972-01-31,political_background,马亨德拉国王／无党派评议会制,王室直接主导的无党派体制,马亨德拉国王解散议会、禁止政党并建立无党派评议会制度；首相和政府服从王室权力。,书中将1950年条约、1959年甘达基河协定等列为印度影响尼泊尔政治经济的长期机制；辛格等反对派把印度视为王室的外部支持者。,mixed,WTY-P30-P31;WTY-P65-P72,1960年国王宣布一切政党非法，尼共和其他党派遭禁；无党派评议会制度以君主集权为基本特征。,yes,middle right
background_1972_birendra,1972-01-31,1989-03-23,political_background,比兰德拉国王／无党派评议会制,王室继续主导政权直至尼印关系危机,比兰德拉继位后延续无党派评议会制度，由国王任命首相和内阁；政党仍受禁限。,比兰德拉提出“和平区”、限制外国人在尼就业，并发展同中国的工程和军贸关系；这些政策使尼印矛盾逐步上升。,mixed,WTY-P43-P47,比兰德拉时期王室政权延续；书中把1975年“和平区”主张、1987年外国人就业许可和尼中合作列为尼印关系紧张的背景。,yes,middle right
background_1989_blockade,1989-03-23,1990-04-16,political_background,比兰德拉国王／王室政府,尼印危机推动人民民主运动,比兰德拉国王掌握国家权力，马里奇·曼·辛格任首相；1990年抗议扩大后改任洛肯德拉·巴哈杜尔·昌德，最终同意结束无党派体制。,印度以贸易与过境协定到期为由关闭大部分过境站，形成贸易禁运；经济冲击与反王室运动相互叠加。,mixed,WTY-P43-P47,1989年3月23日印度关闭大部分尼泊尔运输过境站。1990年抗议升级后，比兰德拉同意解除党禁、解散王室政府并举行大选。,yes,middle right
background_1990_interim,1990-04-16,1991-05-12,political_background,多党联合临时政府／巴特拉伊首相,恢复多党制并制定新宪法,比兰德拉转为立宪国王；大会党主席克·普·巴特拉伊领导由大会党、左翼联合阵线、王室提名者和知识分子组成的临时政府。,1990年6月巴特拉伊政府同印度达成协议，印度取消贸易禁运，两国恢复贸易与过境安排。,mixed,WTY-P46-P47,1990年4月国王废止无党派评议会制度；巴特拉伊临时政府负责起草新宪法并筹备多党议会选举。,yes,middle right
background_1991_congress,1991-05-12,1994-07-10,political_background,大会党政府／吉·普·柯伊拉腊首相,1991年大选后的多数党政府,大会党在205席中赢得110席，吉·普·柯伊拉腊任首相；比兰德拉为立宪国王。,书中认为政府对外政策仍倚仗印度；政府需处理尼印经济僵局，并延续与印度的贸易和过境安排。,mixed,WTY-P47-P51,大会党政府实行自由放任和私有化政策。书中把经济危机、亲印政策及未能兑现改善民生的承诺列为民众不满的重要原因。,yes,middle right
background_1994_uml,1994-11-30,1995-09-11,political_background,尼共（联合马列）政府／阿迪卡里首相,共产党领导的少数派政府,尼共（联合马列）成为议会第一大党，曼·莫汉·阿迪卡里在国王邀请下组成少数派政府并任首相。,政府试图纠正前一届政府的亲印政策，但书中认为仍无法摆脱印度影响。,mixed,WTY-P55-P57,1994年11月尼共（联合马列）组成少数派政府；1995年9月大会党联合其他党派通过不信任案，阿迪卡里政府下台。,yes,middle right
