relation_id,source_org_id,target_org_id,relation_type,event_date,description,date_precision,source_id,related_person_ids
relation_two_centres,ncp_unified,ncp_raimajhi,split,1962-04-01,被三大开除后拒绝处分并继续控制另一中央；书中称实际形成两个中央,month,WTY-P31,raimajhi
relation_manandhar_split,ncp_raimajhi,ncp_manandhar,split,1981-01-01,马南达尔带领一大部分党员脱离并另立尼共（马南达尔）,year,WTY-P32,raimajhi;bishnu_manandhar
relation_adhikari_unity_marxist,ncp_unity_congress,ncp_marxist,merge,1986-01-01,尼共（统一大会）的一部分并入普拉丹领导的组织并组建尼共（马）,year,WTY-P30;WTY-P33,adhikari;sahana_pradhan
relation_adhikari_marxist_uml,ncp_marxist,ncp_uml,merge,1991-01-01,尼共（马）与尼共（马列）联合成立尼共（联合马列）,year,WTY-P30;WTY-P33,adhikari;sahana_pradhan;madan_bhandari
relation_amatya_1962,ncp_unified,ncp_amatya,split,1962-04-01,三大选举阿玛提亚为总书记；什雷斯塔与其共同分担领导职责；腊伊玛吉集团另控中央,month,WTY-P31-P32,pushpa_lal_shrestha;tulsi_lal_amatya
relation_shrestha_1968,ncp_amatya,ncp_pushpa_lal,split,1968-01-01,什雷斯塔带领大部分骨干脱离阿玛提亚领导的尼共另建尼共（普什帕·拉尔）,year,WTY-P33-P34,pushpa_lal_shrestha
relation_fourth_masal,ncp_fourth_congress,ncp_masal,split,1983-11-01,辛格率追随者脱离尼共（四大）另建Masal,month,WTY-P36-P39,mohan_bikram_singh;prachanda;mohan_vaidya;baburam_bhattarai;nirmal_lama
relation_masal_mashal,ncp_masal,ncp_mashal,split,1985-01-01,维迪亚派脱离辛格领导的Masal另建Mashal；普拉昌达转入后者,year,WTY-P36-P39,mohan_bikram_singh;prachanda;mohan_vaidya
relation_mashal_unity_centre,ncp_mashal,ncp_unity_centre,merge,1990-11-19,普拉昌达领导的Mashal—CC参与组建尼共（团结中心）,day,WTY-P47-P51,prachanda;mohan_vaidya
relation_fourth_unity_centre,ncp_fourth_congress,ncp_unity_centre,merge,1990-11-19,尼莫·拉玛领导的原尼共（四大）一支参与组建尼共（团结中心）,day,WTY-P47-P51,prachanda;nirmal_lama
relation_unity_centre_prachanda,ncp_unity_centre,ncp_unity_centre_prachanda,split,1994-05-01,普拉昌达与巴特拉伊在1994年5月后不久另立同名团结中心；确切日期未载,uncertain,WTY-P47-P51,prachanda;baburam_bhattarai;nirmal_lama
relation_prachanda_maoist,ncp_unity_centre_prachanda,ncp_maoist,renamed,1995-03-01,普拉昌达派团结中心在中央委员会第三次扩大会议上更名尼共（毛）,month,WTY-P51-P52,prachanda;baburam_bhattarai
relation_masal_unity_centre_masal,ncp_masal,ncp_unity_centre_masal,merge,2002-04-22,辛格的Masal与纳拉扬·卡吉·什雷斯塔领导的原团结中心合并,day,WTY-P36-P39,mohan_bikram_singh
relation_original_unity_centre_masal,ncp_unity_centre,ncp_unity_centre_masal,merge,2002-04-22,原团结中心合并进入团结中心—Masal；不是普拉昌达派,day,WTY-P36-P39,mohan_bikram_singh
relation_singh_2006,ncp_unity_centre_masal,ncp_unity_centre_masal_singh,split,2006-04-01,2006年4月恢复民主后辛格派另立同名党；具体日期未载,uncertain,WTY-P36-P39,mohan_bikram_singh
relation_burma_split,ncp_raimajhi,ncp_burma,split,1983-07-01,布尔玛将腊伊玛吉开除后领导余下组织；具体月份仅为图示定位,uncertain,WTY-P32,raimajhi;krishna_raj_burma
relation_manandhar_united,ncp_manandhar,ncp_united_1991,merge,1991-07-01,尼共（民主派）同布尔玛派和阿玛提亚派组成尼共（联合）,uncertain,WTY-P32,bishnu_manandhar;krishna_raj_burma;tulsi_lal_amatya
relation_burma_united,ncp_burma,ncp_united_1991,merge,1991-07-01,布尔玛派参与组建尼共（联合）,uncertain,WTY-P32,krishna_raj_burma;bishnu_manandhar
relation_amatya_united,ncp_amatya,ncp_united_1991,merge,1992-01-01,阿玛提亚派并入尼共（联合）,year,WTY-P32-P34,tulsi_lal_amatya;bishnu_manandhar
relation_united_uml,ncp_united_1991,ncp_uml,merge,1993-01-01,尼共（联合）参选失败后布尔玛派与阿玛提亚派的一部分转入联合马列,year,WTY-P32,krishna_raj_burma;tulsi_lal_amatya;bishnu_manandhar
relation_pushpa_liberation,ncp_pushpa_lal,liberation_front_group,split,1976-01-01,班达里带领部分党员离开并组建解放阵线团体,year,WTY-P33,pushpa_lal_shrestha;madan_bhandari
relation_liberation_ml,liberation_front_group,ncp_ml,merge,1977-01-01,解放阵线团体并入全尼泊尔共产主义革命协调委员会（马列主义者）,year,WTY-P33,madan_bhandari
relation_pushpa_marxist,ncp_pushpa_lal,ncp_marxist,merge,1987-01-01,普拉丹领导的尼共（普·拉）同统一大会的一部分组建尼共（马）,year,WTY-P33,sahana_pradhan;adhikari;pushpa_lal_shrestha
relation_ml_uml,ncp_ml,ncp_uml,merge,1991-01-01,尼共（马列）与尼共（马）联合组建尼共（联合马列）,year,WTY-P33,madan_bhandari;sahana_pradhan;adhikari
relation_uml_marxist_leninist,ncp_uml,ncp_marxist_leninist_1998,split,1998-01-01,联合马列分裂时普拉丹同一部分党员组建尼共（马列主义者）,year,WTY-P33,sahana_pradhan
relation_marxist_leninist_uml,ncp_marxist_leninist_1998,ncp_uml,merge,2002-01-01,尼共（马列主义者）并回尼共（联合马列）,year,WTY-P33,sahana_pradhan
relation_masal_unity_baburam,ncp_masal,ncp_unity_centre,merge,1991-01-01,巴特拉伊带领Masal一小部分加入普拉昌达领导的团结中心,year,WTY-P36-P39,baburam_bhattarai;mohan_bikram_singh;prachanda
relation_unity_people_front,ncp_unity_centre,united_peoples_front,formalized,1991-01-01,团结中心联合其他左翼组织组建尼泊尔人民统一战线,year,WTY-P52-P59,baburam_bhattarai;prachanda
relation_front_maoist,united_peoples_front,ncp_maoist,merge,1995-03-01,巴特拉伊领导的人民统一战线同普拉昌达派共同建立尼共（毛）,month,WTY-P51-P52;WTY-P52-P59,baburam_bhattarai;prachanda
